p_id,classid,p_name,p_intro,p_price,p_open
29,6,【D-Link 友訊】DCS-6500LHV2 迷你旋轉無線網路攝影機,【D-Link 友訊】DCS-6500LHV2 迷你旋轉無線網路攝影機,"1,499",1
30,7,【D-Link 友訊】DGS-1024C 24埠Gigabit非網管型交換器,【D-Link 友訊】DGS-1024C 24埠Gigabit非網管型交換器,"2,599",1
31,7,【D-Link 友訊】DES-1005A 5埠網路交換器,【D-Link 友訊】DES-1005A 5埠網路交換器,199,1
32,7,【D-Link 友訊】DGS-1016C 16埠Gigabit非網管型交換器,【D-Link 友訊】DGS-1016C 16埠Gigabit非網管型交換器,"1,899",1
33,7,【D-Link 友訊】DGS-1005A 5埠GIGA交換器,【D-Link 友訊】DGS-1005A 5埠GIGA交換器,329,1
34,7,【D-Link 友訊】DES-1008A 8埠網路交換器,【D-Link 友訊】DES-1008A 8埠網路交換器,269,1
35,7,【D-Link 友訊】DGS-1024D 24埠 Gigabit 節能型交換器,【D-Link 友訊】DGS-1024D 24埠 Gigabit 節能型交換器,"4,299",1
36,7,【D-Link 友訊】DGS-105(E1) 5埠 Giga 桌上型交換器,【D-Link 友訊】DGS-105(E1) 5埠 Giga 桌上型交換器,439,1
37,7,【D-Link 友訊】DGS-108【E1】8埠 Giga 桌上型交換器,【D-Link 友訊】DGS-108【E1】8埠 Giga 桌上型交換器,729,1
38,8,【TP-LINK】Tapo L530E 全彩WIFI智慧燈泡,【TP-LINK】Tapo L530E 全彩WIFI智慧燈泡,399,1
39,8,【TP-LINK】TAPO L930-5 智慧 WIFI 多彩燈條,【TP-LINK】TAPO L930-5 智慧 WIFI 多彩燈條,999,1
40,8,【TP-Link】Tapo H200 無線智慧網關,【TP-Link】Tapo H200 無線智慧網關,899,1
41,8,【TP-Link】Tapo D230S1 智慧門鈴,【TP-Link】Tapo D230S1 智慧門鈴,"3,799",1
42,8,【TP-Link】Tapo T315 智慧溫濕度感測器,【TP-Link】Tapo T315 智慧溫濕度感測器,899,1
43,8,【TP-Link】Tapo L900-5 多彩調節 Wi-Fi 智慧照明 全彩智能燈條 5米,【TP-Link】Tapo L900-5 多彩調節 Wi-Fi 智慧照明 全彩智能燈條 5米,499,1
44,8,【TP-Link】Tapo P125 迷你型 Wi-Fi 智慧插座,【TP-Link】Tapo P125 迷你型 Wi-Fi 智慧插座,299,1
45,8,【TP-Link】Tapo L900-10 Wi-Fi 全彩智能燈條 10M,【TP-Link】Tapo L900-10 Wi-Fi 全彩智能燈條 10M,899,1
46,8,【TP-Link】Tapo P105 wifi無線網路智能智慧插座,【TP-Link】Tapo P105 wifi無線網路智能智慧插座,249,1
47,8,【TP-Link】Tapo P306 智慧 Wi-Fi 擴充插座,【TP-Link】Tapo P306 智慧 Wi-Fi 擴充插座,899,1
48,8,【TP-Link】Tapo S200D 智慧遙控調光開關 智慧按鈕,【TP-Link】Tapo S200D 智慧遙控調光開關 智慧按鈕,599,1
49,8,【TP-Link】Tapo T100 智慧行動感應器,【TP-Link】Tapo T100 智慧行動感應器,699,1
50,8,【TP-Link】Tapo S200B 智慧遙控調光開關 智慧按鈕,【TP-Link】Tapo S200B 智慧遙控調光開關 智慧按鈕,499,1
51,9,【TP-Link】M7450 4G sim卡wifi無線網路行動分享器 [4G LTE路由器],【TP-Link】M7450 4G sim卡wifi無線網路行動分享器 [4G LTE路由器],"3,499",1
52,9,【TP-LINK】Archer MR400 AC1200 無線雙頻4G LTE 路由器/分享器,【TP-LINK】Archer MR400 AC1200 無線雙頻4G LTE 路由器/分享器,"2,399",1
53,9,【TP-LINK】Archer C24 AC750 無線網路雙頻 WiFi 路由器/分享器,【TP-LINK】Archer C24 AC750 無線網路雙頻 WiFi 路由器/分享器,599,1
54,9,【TP-Link】Archer BE230 Wi-Fi 7 BE3600 雙頻 Wi-Fi 7 路由器,【TP-Link】Archer BE230 Wi-Fi 7 BE3600 雙頻 Wi-Fi 7 路由器,"2,799",1
55,9,【TP-Link】Deco BE25 WiFi 7 BE5000 Mesh 無線網路網狀路由器｜二入組,【TP-Link】Deco BE25 WiFi 7 BE5000 Mesh 無線網路網狀路由器｜二入組,"5,199",1
56,9,【TP-LINK】Archer AX55 Pro AX3000 無線網路分享路由器,【TP-LINK】Archer AX55 Pro AX3000 無線網路分享路由器,"2,499",1
57,9,【TP-Link】Deco M4 Mesh 無線網狀系統路由器 3入組,【TP-Link】Deco M4 Mesh 無線網狀系統路由器 3入組,"2,999",1
58,9,【TP-Link】Deco M4 Mesh 無線網狀系統路由器 2入組,【TP-Link】Deco M4 Mesh 無線網狀系統路由器 2入組,"1,999",1
59,9,【TP-Link】TL-MR6400 300Mbps 無線 N 4G LTE路由器,【TP-Link】TL-MR6400 300Mbps 無線 N 4G LTE路由器,"1,899",1
60,9,【TP-Link】Archer MR600 4G+ Cat6 AC1200 無線雙頻 Gigabit 路由器,【TP-Link】Archer MR600 4G+ Cat6 AC1200 無線雙頻 Gigabit 路由器,"3,999",1
61,9,【TP-LINK】Archer BE550 WiFi 7 BE9300 三頻 2.5 Gigabit 無線網路路由器,【TP-LINK】Archer BE550 WiFi 7 BE9300 三頻 2.5 Gigabit 無線網路路由器,"5,999",1
62,9,【TP-Link】Archer AX53 AX3000 雙頻 Gigabit Wi-Fi 6 無線路由器,【TP-Link】Archer AX53 AX3000 雙頻 Gigabit Wi-Fi 6 無線路由器,"1,899",1
63,9,【TP-LINK】Archer AX72 AX5400 雙頻 WiFi 6 無線網路路由器,【TP-LINK】Archer AX72 AX5400 雙頻 WiFi 6 無線網路路由器,"2,599",1
64,9,【TP-LINK】Archer AX12 AX1500 Wi-Fi 6 路由器/分享器,【TP-LINK】Archer AX12 AX1500 Wi-Fi 6 路由器/分享器,"1,199",1
65,9,【TP-Link】Deco X10 AX1500 雙頻 MESH 路由器 2入組,【TP-Link】Deco X10 AX1500 雙頻 MESH 路由器 2入組,"2,699",1
66,9,【TP-LINK】Deco X20 AX1800 真Mesh 無線WiFi 6路由器 2入組,【TP-LINK】Deco X20 AX1800 真Mesh 無線WiFi 6路由器 2入組,"3,499",1
67,9,【TP-LINK】Archer C54 AC1200 雙頻 Wi-Fi 路由器,【TP-LINK】Archer C54 AC1200 雙頻 Wi-Fi 路由器,749,1
68,9,【TP-Link】Deco X50 AX3000 WiFi 6 Mesh 網狀路由器 - 3入,【TP-Link】Deco X50 AX3000 WiFi 6 Mesh 網狀路由器 - 3入,"6,999",1
69,9,【TP-LINK】TL-MR6500v 4G LTE VoIP Wi-Fi 路由器 / 分享器,【TP-LINK】TL-MR6500v 4G LTE VoIP Wi-Fi 路由器 / 分享器,"2,390",1
70,9,【TP-Link】DECO X50 AX3000 室內/戶外 雙頻 Mesh WiFi 6系統 路由器/分享器,【TP-Link】DECO X50 AX3000 室內/戶外 雙頻 Mesh WiFi 6系統 路由器/分享器,"2,999",1
71,10,【TP-LINK】TAPO C220 旋轉式 AI 家庭防護 / Wi-Fi 網路攝影機,【TP-LINK】TAPO C220 旋轉式 AI 家庭防護 / Wi-Fi 網路攝影機,"1,099",1
72,10,【TP-Link】Tapo C500 戶外型安全 WiFi 攝影機,【TP-Link】Tapo C500 戶外型安全 WiFi 攝影機,"1,299",1
73,10,【TP-Link】Tapo C225 旋轉式WIFI攝影機,【TP-Link】Tapo C225 旋轉式WIFI攝影機,"1,599",1
74,10,【TP-LINK】Tapo C210 旋轉式家庭安全防護 Wi-Fi 攝影機 2入組,【TP-LINK】Tapo C210 旋轉式家庭安全防護 Wi-Fi 攝影機 2入組,"1,888",1
75,10,【TP-LINK】Tapo C210 旋轉式家庭安全防護 Wi-Fi 攝影機 白色 不能視訊會議用,【TP-LINK】Tapo C210 旋轉式家庭安全防護 Wi-Fi 攝影機 白色 不能視訊會議用,949,1
76,10,【TP-LINK】Tapo C520WS 戶外旋轉式 WiFi 防護攝影機,【TP-LINK】Tapo C520WS 戶外旋轉式 WiFi 防護攝影機,"2,299",1
77,10,【TP-LINK】Tapo C310 室外安全 Wi-Fi 攝影機【不能視訊會議用】,【TP-LINK】Tapo C310 室外安全 Wi-Fi 攝影機【不能視訊會議用】,"1,099",1
78,10,【TP-Link】Tapo C125 AI 居家安全 Wi-Fi 磁吸式攝影機,【TP-Link】Tapo C125 AI 居家安全 Wi-Fi 磁吸式攝影機,"1,399",1
79,10,【TP-LINK】Tapo C320WS 戶外防水 Wi-Fi 網路攝影機,【TP-LINK】Tapo C320WS 戶外防水 Wi-Fi 網路攝影機,"1,699",1
80,10,【TP-LINK】Tapo C110 家庭安全防護 / Wi-Fi 網路攝影機,【TP-LINK】Tapo C110 家庭安全防護 / Wi-Fi 網路攝影機,799,1
81,10,【TP-Link】Tapo C420S2 無線網路攝影機 監視器套組,【TP-Link】Tapo C420S2 無線網路攝影機 監視器套組,"4,799",1
82,10,【TP-Link】Tapo C200 旋轉式家庭安全防護 Wi-Fi 攝影機 【不能視訊會議用】,【TP-Link】Tapo C200 旋轉式家庭安全防護 Wi-Fi 攝影機 【不能視訊會議用】,849,1
83,10,【TP-LINK】Tapo C425 2K 磁吸式 400萬畫素無線網路攝影機,【TP-LINK】Tapo C425 2K 磁吸式 400萬畫素無線網路攝影機,"3,499",1
84,10,【TP-LINK】Tapo C211 旋轉式家庭安全防護 Wi-Fi 攝影機/黑色 【不能視訊會議用】,【TP-LINK】Tapo C211 旋轉式家庭安全防護 Wi-Fi 攝影機/黑色 【不能視訊會議用】,949,1
85,10,【TP-Link】Tapo C325WB 戶外安全防護 Wi-Fi 攝影機,【TP-Link】Tapo C325WB 戶外安全防護 Wi-Fi 攝影機,"2,999",1
86,10,【TP-LINK】Tapo C210 旋轉式家庭安全防護 Wi-Fi 攝影機+256G記憶卡,【TP-LINK】Tapo C210 旋轉式家庭安全防護 Wi-Fi 攝影機+256G記憶卡,"1,499",1
87,10,【TP-Link】Tapo C200 旋轉式家庭安全防護 Wi-Fi 攝影機+128G記憶卡,【TP-Link】Tapo C200 旋轉式家庭安全防護 Wi-Fi 攝影機+128G記憶卡,"1,050",1
88,11,【TP-Link】Archer T2U Plus AC600 USB 無線雙頻網路卡,【TP-Link】Archer T2U Plus AC600 USB 無線雙頻網路卡,399,1
89,11,【TP-Link】T3U Archer AC1300 MU-MIMO 迷你USB無線網卡,【TP-Link】T3U Archer AC1300 MU-MIMO 迷你USB無線網卡,449,1
90,11,【TP-LINK】Archer T3U PLUS AC1300 高增益無線雙頻 USB 網卡,【TP-LINK】Archer T3U PLUS AC1300 高增益無線雙頻 USB 網卡,499,1
91,11,【TP-Link】UE330 3埠USB 3.0集線器轉Gigabit USB網路卡,【TP-Link】UE330 3埠USB 3.0集線器轉Gigabit USB網路卡,799,1
92,11,【TP-Link】Archer T2U AC600 NANO 無線微型網路卡,【TP-Link】Archer T2U AC600 NANO 無線微型網路卡,299,1
93,11,【TP-Link】TL-WA855RE 300Mbps Wi-Fi 範圍擴展器,【TP-Link】TL-WA855RE 300Mbps Wi-Fi 範圍擴展器,399,1
94,11,【TP-Link】TL-WN725N N150 超微型USB無線網卡,【TP-Link】TL-WN725N N150 超微型USB無線網卡,149,1
95,11,【TP-LINK】TL-WN823N USB迷你網卡,【TP-LINK】TL-WN823N USB迷你網卡,259,1
96,11,【TP-LINK】TG-3468 PCI Express Gigabit有線網路卡,【TP-LINK】TG-3468 PCI Express Gigabit有線網路卡,299,1
97,11,【TP-LINK】RE315 AC1200 Mesh Wi-Fi 訊號延伸器,【TP-LINK】RE315 AC1200 Mesh Wi-Fi 訊號延伸器,799,1
98,11,【TP-Link】RE705X AX3000 Mesh WiFi 6 訊號延伸器,【TP-Link】RE705X AX3000 Mesh WiFi 6 訊號延伸器,"1,999",1
99,11,【TP-Link】Archer Air E5 AX3000 雙頻 Wi-Fi 6 Air 訊號延伸器,【TP-Link】Archer Air E5 AX3000 雙頻 Wi-Fi 6 Air 訊號延伸器,"1,999",1
100,11,【TP-LINK】RE505X AX1500 雙頻無線網路 WiFi 6 訊號延伸器,【TP-LINK】RE505X AX1500 雙頻無線網路 WiFi 6 訊號延伸器,999,1
101,12,【TP-LINK】M7350 4G 進階版 LTE 行動Wi-Fi 分享器 (英文版),【TP-LINK】M7350 4G 進階版 LTE 行動Wi-Fi 分享器 (英文版),"1,999",1
102,12,【TP-Link】M7450 4G sim卡wifi無線網路行動分享器 [4G LTE路由器],【TP-Link】M7450 4G sim卡wifi無線網路行動分享器 [4G LTE路由器],"3,499",1
103,12,【TP-LINK】M7200 4G LTE Wi-Fi 行動分享器,【TP-LINK】M7200 4G LTE Wi-Fi 行動分享器,"1,599",1
